StringTime,DoubleTime,kW L1,kW L2,kW L3,E1,E2,E3,dE1,dE2,dE3
09/24/21  07:04:26.432   ,1632467066432.0,0.212,0.77,0.834,0.212,0.77,0.834,0.0,0.0,0.0
09/24/21  07:05:27.432   ,1632467127432.0,0.219,0.737,1.001,13.318,45.89899999999998,53.970000000000006,13.106,45.12899999999998,53.136
09/24/21  07:06:28.421   ,1632467188421.0,0.217,0.741,0.561,26.537999999999993,90.83999999999996,93.17699999999998,13.219999999999994,44.94099999999998,39.20699999999997
09/24/21  07:07:29.426   ,1632467249426.0,0.216,0.881,0.562,39.55900000000003,140.88499999999988,126.55700000000012,13.02100000000004,50.044999999999916,33.38000000000014
09/24/21  07:08:30.431   ,1632467310431.0,0.219,2.773,0.56,52.84700000000011,221.40099999999987,161.14200000000014,13.288000000000075,80.51599999999999,34.58500000000002
09/24/21  07:09:31.454   ,1632467371454.0,0.22,2.759,0.52,66.1710000000001,389.8019999999997,194.2850000000001,13.323999999999998,168.4009999999998,33.14299999999997
09/24/21  07:10:32.428   ,1632467432428.0,0.217,2.804,0.657,79.532,557.2049999999999,231.1570000000001,13.36099999999989,167.40300000000025,36.871999999999986
09/24/21  07:11:33.410   ,1632467493410.0,0.22,2.184,0.728,92.91899999999998,695.2759999999995,273.3140000000002,13.386999999999986,138.07099999999957,42.157000000000096
09/24/21  07:12:34.555   ,1632467554555.0,0.222,2.182,0.792,106.31699999999988,828.1089999999995,319.718,13.397999999999897,132.83299999999997,46.403999999999826
09/24/21  07:13:35.422   ,1632467615422.0,0.218,2.193,0.862,119.69299999999983,961.0769999999989,369.812,13.375999999999948,132.9679999999994,50.093999999999994
09/24/21  07:14:36.435   ,1632467676435.0,0.221,2.673,0.602,133.10299999999978,1113.8199999999986,419.8509999999996,13.409999999999954,152.7429999999997,50.03899999999959
09/24/21  07:15:37.466   ,1632467737466.0,0.217,2.672,0.552,146.52899999999974,1276.696999999999,454.2469999999998,13.42599999999996,162.8770000000004,34.396000000000186
09/24/21  07:16:38.440   ,1632467798440.0,0.221,0.817,0.568,159.9289999999997,1376.193,488.4129999999999,13.399999999999949,99.496000000001,34.16600000000011
09/24/21  07:17:39.425   ,1632467859425.0,0.22,0.816,0.556,173.32699999999963,1447.3379999999995,522.6879999999994,13.39799999999994,71.14499999999953,34.27499999999952
09/24/21  07:18:40.434   ,1632467920434.0,0.222,0.726,0.603,186.77399999999952,1493.754,556.2699999999998,13.446999999999889,46.416000000000395,33.582000000000335
09/24/21  07:19:41.457   ,1632467981457.0,0.221,0.713,0.687,200.17199999999946,1537.245999999999,595.978,13.39799999999994,43.49199999999905,39.7080000000002
09/24/21  07:20:42.453   ,1632468042453.0,0.22,0.382,0.766,213.54699999999934,1571.2009999999989,640.0879999999997,13.374999999999886,33.95499999999993,44.109999999999786
09/24/21  07:21:43.517   ,1632468103517.0,0.217,0.357,0.81,225.63699999999935,1589.882,683.5639999999999,12.090000000000003,18.681000000001177,43.47600000000011
09/24/21  07:22:44.528   ,1632468164528.0,0.22,0.341,0.882,239.0279999999993,1611.7789999999995,735.7419999999996,13.390999999999963,21.89699999999948,52.17799999999977
09/24/21  07:23:45.549   ,1632468225549.0,0.221,0.398,0.568,252.4289999999993,1633.0889999999993,779.2359999999998,13.400999999999982,21.309999999999718,43.49400000000014
09/24/21  07:24:46.529   ,1632468286529.0,0.206,0.803,0.558,265.5419999999993,1681.2039999999997,813.2639999999994,13.113,48.115000000000464,34.02799999999968
